datetime,duration,duration_riding,distance,distance_total,speed,speed_avg,speed_avg_riding,speed_max,speed_limit,acceleration,voltage,current,current_phase,power,battery,temp,temp_motor,temp_batt,safety_margin,cpu_load,tilt,roll,fan,alert,alarm,gps_datetime,gps_duration,gps_duration_riding,gps_distance,gps_lat,gps_lon,gps_speed,gps_speed_avg,gps_speed_avg_riding,gps_speed_max,gps_alt,gps_bearing,gps_acc,hr,extra
2025-04-25T11:22:53.655+0200,0,0,0.000,2976.208,0.89,0.89,0.89,0.89,,,84.48,0.85,,72,100,23,,,,,-0.1,,,,0,,,,,,,,,,,,,,,euc.distance=0
2025-04-25T11:22:54.109+0200,0,1,0.000,2976.209,1.60,1.25,1.25,1.60,,,84.48,0.90,,76,100,23,,,,,-0.1,,,,0,,,,,,,,,,,,,,,euc.distanceUser=2976.15
2025-04-25T11:22:54.591+0200,1,1,0.001,2976.209,1.49,1.33,1.33,1.60,,,84.46,0.85,,72,100,23,,,,,0.0,,,,0,,,,,,,,,,,,,,,euc.distanceTotal=2976.208
2025-04-25T11:22:55.075+0200,1,2,0.001,2976.209,1.22,1.30,1.30,1.60,,,84.49,0.85,,72,100,23,,,,,-0.0,,,,0,,,,,,,,,,,,,,,euc.firmware=2.2.11
2025-04-25T11:22:55.858+0200,2,2,0.001,2976.209,1.22,1.28,1.28,1.60,,,84.49,0.85,,72,100,23,,,,,-0.0,,,,0,,,,,,,,,,,,,,,euc.make=Inmotion
2025-04-25T11:22:56.278+0200,2,3,0.001,2976.210,1.20,1.27,1.27,1.60,,,84.46,0.85,,72,100,23,,,,,-0.1,,,,0,,,,,,,,,,,,,,,euc.model=V10F
2025-04-25T11:22:56.761+0200,3,3,0.002,2976.210,1.40,1.29,1.29,1.60,,,84.54,0.82,,69,100,23,,,,,0.0,,,,0,,,,,,,,,,,,,,,euc.serial=14C02A5FAE86027D
2025-04-25T11:22:57.139+0200,3,4,0.002,2976.210,1.62,1.33,1.33,1.62,,,84.50,0.87,,74,100,23,,,,,-0.0,,,,0,,,,,,,,,,,,,,,euc.type=INMOTION
2025-04-25T11:22:57.560+0200,4,4,0.002,2976.210,1.22,1.32,1.32,1.62,,,84.52,0.78,,66,100,23,,,,,0.3,,,,0,,,,,,,,,,,,,,,euc.btAddress=F8:33:31:DD:5C:32
2025-04-25T11:22:57.953+0200,4,4,0.002,2976.210,1.45,1.33,1.33,1.62,,,84.46,0.90,,76,100,23,,,,,-0.0,,,,0,,,,,,,,,,,,,,,euc.btName=V10F-AE86027D
2025-04-25T11:22:58.320+0200,4,5,0.002,2976.210,2.37,1.43,1.43,2.37,,,84.50,0.93,,79,100,23,,,,,0.1,,,,0,,,,,,,,,,,,,,,euc.speedCorrection=0
2025-04-25T11:22:59.503+0200,6,6,0.002,2976.211,2.34,1.50,1.50,2.37,,,84.50,0.79,,67,100,23,,,,,0.5,,,,0,,,,,,,,,,,,,,,euc.distCorrection=0
2025-04-25T11:22:59.921+0200,6,6,0.003,2976.212,2.27,1.56,1.56,2.37,,,84.47,0.85,,72,100,23,,,,,0.0,,,,0,,,,,,,,,,,,,,,info.manufacturer=samsung
2025-04-25T11:23:00.318+0200,6,7,0.004,2976.212,2.12,1.60,1.60,2.37,,,84.46,0.89,,75,100,23,,,,,0.1,,,,0,,,,,,,,,,,,,,,info.brand=samsung
2025-04-25T11:23:01.118+0200,7,8,0.004,2976.212,2.12,1.64,1.64,2.37,,,84.46,0.89,,75,100,23,,,,,0.1,,,,0,,,,,,,,,,,,,,,info.device=r9q
2025-04-25T11:23:01.536+0200,8,8,0.004,2976.213,1.90,1.65,1.65,2.37,,,84.53,0.82,,69,100,23,,,,,0.2,,,,0,,,,,,,,,,,,,,,info.display=UP1A.231005.007.G990BXXSCGYC9
2025-04-25T11:23:01.954+0200,8,8,0.005,2976.213,2.20,1.68,1.68,2.37,,,84.53,0.83,,70,100,23,,,,,0.1,,,,0,,,,,,,,,,,,,,,info.id=UP1A.231005.007
2025-04-25T11:23:02.377+0200,8,9,0.005,2976.213,1.90,1.70,1.70,2.37,,,84.49,0.85,,72,100,23,,,,,0.3,,,,0,,,,,,,,,,,,,,,info.model=SM-G990B
2025-04-25T11:23:02.793+0200,9,9,0.005,2976.213,2.02,1.71,1.71,2.37,,,84.46,0.91,,77,100,23,,,,,0.0,,,,0,2025-04-25T11:23:03.000+0200,,,0.000,44.3844545,9.0328559,0.00,0.00,0.00,0.00,17.0,,24,,info.product=r9qxeea
2025-04-25T11:23:03.213+0200,9,10,0.005,2976.214,2.07,1.73,1.73,2.37,,,84.53,0.85,,72,100,23,,,,,0.2,,,,0,2025-04-25T11:23:03.000+0200,,,0.000,44.3844545,9.0328559,0.00,0.00,0.00,0.00,17.0,,24,,info.sdk=34
2025-04-25T11:23:04.009+0200,10,11,0.006,2976.214,2.07,1.75,1.75,2.37,,,84.53,0.85,,72,100,23,,,,,0.2,,,,0,2025-04-25T11:23:04.000+0200,0,0,0.000,44.3844607,9.0328541,0.00,0.00,0.00,0.00,14.7,,20,,info.instance=809b6ce8137bf2a2
2025-04-25T11:23:04.415+0200,10,11,0.006,2976.214,2.20,1.77,1.77,2.37,,,84.48,0.89,,75,100,23,,,,,0.2,,,,0,2025-04-25T11:23:04.000+0200,0,0,0.000,44.3844607,9.0328541,0.00,0.00,0.00,0.00,14.7,,20,,info.appVersionName=2.52.3
2025-04-25T11:23:04.832+0200,11,11,0.006,2976.215,2.02,1.78,1.78,2.37,,,84.46,0.87,,73,100,23,,,,,0.0,,,,0,2025-04-25T11:23:05.000+0200,0,0,0.000,44.3844705,9.0328463,0.00,0.00,0.00,0.00,9.6,,17,,info.appVersionCode=2020520003
2025-04-25T11:23:05.261+0200,11,12,0.007,2976.215,2.40,1.80,1.80,2.40,,,84.50,0.66,,56,100,23,,,,,0.6,,,,0,2025-04-25T11:23:05.000+0200,0,0,0.000,44.3844705,9.0328463,0.00,0.00,0.00,0.00,9.6,,17,,info.timeZone=Europe/Rome
